doi,type of publication,repository link,link to publication,title,authors,title of the journal etc,number etc,relevant pages,ISBN,publisher,place of publication,year of publication,open access,peer reviewed
10.3389/fneur.2018.00671,Article in Journal,https://www.frontiersin.org/articles/10.3389/fneur.2018.00671/full,http://dx.doi.org/10.3389/fneur.2018.00671,Conscious While Being Considered in an Unresponsive Wakefulness Syndrome for 20 Years,"Audrey Vanhaudenhuyse, Vanessa Charland-Verville, Aurore Thibaut, Camille Chatelle, Jean-Flory L. Tshibanda, Audrey Maudoux, Marie-Elisabeth Faymonville, Steven Laureys, Olivia Gosseries","Frontiers in Neurology, Vol. 9",,,,Frontiers Media SA,,2018,Gold,True
10.1007/s10827-018-0693-9,Article in Journal,None,http://dx.doi.org/10.1007/s10827-018-0693-9,Firing-rate models for neurons with a broad repertoire of spiking behaviors,"Thomas Heiberg, Birgit Kriener, Tom Tetzlaff, Gaute T. Einevoll, Hans E. Plesser","Journal of Computational Neuroscience, Vol. 45, No. 2",,,,"Springer Nature America, Inc",,2018,Gold,True
10.1101/264820,Article in Journal,https://doi.org/10.1101/264820,https://academic.oup.com/sleep/article-abstract/41/11/zsy167/5078618?redirectedFrom=fulltext,Functional determinants of enhanced and depressed inter-areal information flow in NREM sleep between neuronal ensembles in rat cortex and hippocampus,"Umberto Olcese, Jeroen J Bos, Martin Vinck, Cyriel M.A. Pennartz",None,,,,Cold Spring Harbor Laboratory,,2018,Green,True
10.1016/j.neuron.2018.07.007,Article in Journal,https://www.ncbi.nlm.nih.gov/pubmed/30078578,http://dx.doi.org/10.1016/j.neuron.2018.07.007,Architecture of the Mouse Brain Synaptome,"Fei Zhu, Mélissa Cizeron, Zhen Qiu, Ruth Benavides-Piccione, Maksym V. Kopanitsa, Nathan G. Skene, Babis Koniaris, Javier DeFelipe, Erik Fransén, Noboru H. Komiyama, Seth G.N. Grant","Neuron, Vol. 99, No. 4",,,,Elsevier BV,,2018,Green,True
10.1038/s41598-018-30533-3,Article in Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6105658/,http://dx.doi.org/10.1038/s41598-018-30533-3,Whole-Brain Vasculature Reconstruction at the Single Capillary Level,"Antonino Paolo Di Giovanna, Alessandro Tibo, Ludovico Silvestri, Marie Caroline Müllenbroich, Irene Costantini, Anna Letizia Allegra Mascaro, Leonardo Sacconi, Paolo Frasconi, Francesco Saverio Pavone","Scientific Reports, Vol. 8, No. 1",,,,"Springer Nature America, Inc",,2018,Gold,True
10.1038/s41380-018-0210-6,Article in Journal,https://www.nature.com/articles/s41380-018-0210-6#Ack1,http://dx.doi.org/10.1038/s41380-018-0210-6,Identification of ADHD risk genes in extended pedigrees by combining linkage analysis and whole-exome sequencing,"Jordi Corominas, Marieke Klein, Tetyana Zayats, Olga Rivero, Georg C. Ziegler, Marc Pauper, Kornelia Neveling, Geert Poelmans, Charline Jansch, Evgeniy Svirin, Julia Geissler, Heike Weber, Andreas Reif, Alejandro Arias Vasquez, Tessel E. Galesloot, Lambertus A. L. M. Kiemeney, Jan K. Buitelaar, Josep-Antoni Ramos-Quiroga, Bru Cormand, Marta Ribasés, Kristian Hveem, Maiken Elvestad Gabrielsen, Per Hoffmann, Sven Cichon, Jan Haavik, Stefan Johansson, Christian P. Jacob, Marcel Romanos, Barbara Franke, Klaus-Peter Lesch",Molecular Psychiatry,,,,"Springer Nature America, Inc",,2018,Green,True
10.3389/fneur.2018.00665,Article in Journal,https://www.frontiersin.org/articles/10.3389/fneur.2018.00665/full,http://dx.doi.org/10.3389/fneur.2018.00665,"Brain, Behavior, and Cognitive Interplay in Disorders of Consciousness: A Multiple Case Study","Charlène Aubinet, Lesley Murphy, Mohamed A. Bahri, Stephen K. Larroque, Helena Cassol, Jitka Annen, Manon Carrière, Sarah Wannez, Aurore Thibaut, Steven Laureys, Olivia Gosseries","Frontiers in Neurology, Vol. 9",,,,Frontiers Media SA,,2018,Gold,True
10.1145/3236367.3236373,Publication In Conference Or Workshop,https://upcommons.upc.edu/bitstream/handle/2117/126301/MPI%2bOpenMP%20Tasking%20Scalability%20for%20the.pdf?sequence=5&isAllowed=y,http://dx.doi.org/10.1145/3236367.3236373,MPI+OpenMP Tasking Scalability for the Simulation of the Human Brain,"Pedro Valero-Lara, Raül Sirvent, Antonio J. Peña, Xavier Martorell, Jesús Labarta",Proceedings of the 25th European MPI Users' Group Meeting on - EuroMPI'18,,,,ACM Press,,2018,Green,True
10.1145/3229710.3229752,Publication In Conference Or Workshop,https://upcommons.upc.edu/bitstream/handle/2117/120569/DROM%20Enabling%20Efficient%20and%20Effortless%20Malleability%20for.pdf,http://dx.doi.org/10.1145/3229710.3229752,DROM: Enabling Efficient and Effortless Malleability for Resource Managers,"Marco D'Amico, Marta Garcia-Gasulla, Víctor López, Ana Jokanovic, Raül Sirvent, Julita Corbalan",Proceedings of the 47th International Conference on Parallel Processing Companion - ICPP '18,,,,ACM Press,,2018,Green,True
10.1088/1751-8121/aad52e,Article in Journal,None,http://dx.doi.org/10.1088/1751-8121/aad52e,Expansion of the effective action around non-Gaussian theories,"Tobias Kühn, Moritz Helias","Journal of Physics A: Mathematical and Theoretical, Vol. 51, No. 37",,,,IOP Publishing,,2018,Gold,False
10.3389/fnana.2018.00065,Article in Journal,https://www.frontiersin.org/articles/10.3389/fnana.2018.00065/full,http://dx.doi.org/10.3389/fnana.2018.00065,Acetylcholine Neurotransmitter Receptor Densities in the Striatum of Hemiparkinsonian Rats Following Botulinum Neurotoxin-A Injection,"Teresa Mann, Karl Zilles, Felix Klawitter, Markus Cremer, Alexander Hawlitschka, Nicola Palomero-Gallagher, Oliver Schmitt, Andreas Wree","Frontiers in Neuroanatomy, Vol. 12",,,,Frontiers Media SA,,2018,Gold,True
10.1038/s42003-018-0110-y,Article in Journal,https://www.nature.com/articles/s42003-018-0110-y,http://dx.doi.org/10.1038/s42003-018-0110-y,Activations of deep convolutional neural networks are aligned with gamma band activity of human visual cortex,"Ilya Kuzovkin, Raul Vicente, Mathilde Petton, Jean-Philippe Lachaux, Monica Baciu, Philippe Kahane, Sylvain Rheims, Juan R. Vidal, Jaan Aru","Communications Biology, Vol. 1, No. 1",,,,"Springer Nature America, Inc",,2018,Gold,True
10.1109/BIOROB.2018.8487786,Publication In Conference Or Workshop,None,http://dx.doi.org/10.1109/biorob.2018.8487786,Multi-Modal Motion Activation for Robot Control Using Spiking Neurons,"J. Camilo Vasquez Tieck, Lea Steffen, Jacques Kaiser, Arne Roennau, Rudiger Dillmann",2018 7th IEEE International Conference on Biomedical Robotics and Biomechatronics (Biorob),,,,IEEE,,2018,No,True
10.1109/BIOROB.2018.8487959,Publication In Conference Or Workshop,None,http://dx.doi.org/10.1109/biorob.2018.8487959,Learning to Reproduce Visually Similar Movements by Minimizing Event-Based Prediction Error,"Jacques Kaiser, Svenja Melbaum, J. Camilo Vasquez Tieck, Arne Roennau, Martin V. Butz, Rudiger Dillmann",2018 7th IEEE International Conference on Biomedical Robotics and Biomechatronics (Biorob),,,,IEEE,,2018,No,False
10.3390/proteomes6030031,Article in Journal,https://www.ncbi.nlm.nih.gov/pubmed/?term=Regional+Diversity+in+the+Postsynaptic+Proteome+of+the+Mouse+Brain.+Proteomes.,http://dx.doi.org/10.3390/proteomes6030031,Regional Diversity in the Postsynaptic Proteome of the Mouse Brain,"Marcia Roy, Oksana Sorokina, Colin McLean, Silvia Tapia-González, Javier DeFelipe, J. Armstrong, Seth Grant","Proteomes, Vol. 6, No. 3",,,,MDPI AG,,2018,Green,True
10.1152/jn.00262.2017,Article in Journal,http://dx.doi.org/10.1152/jn.00262.2017,http://dx.doi.org/10.1152/jn.00262.2017,Real-time visuomotor behavior and electrophysiology recording setup for use with humans and monkeys,"Marcel Jan de Haan, Thomas Brochier, Sonja Grün, Alexa Riehle, Frédéric V. Barthélemy","Journal of Neurophysiology, Vol. 120, No. 2",,,,American Physiological Society,,2018,Gold,True
10.3389/fncir.2018.00053,Article in Journal,None,http://dx.doi.org/10.3389/fncir.2018.00053,Eligibility Traces and Plasticity on Behavioral Time Scales: Experimental Support of NeoHebbian Three-Factor Learning Rules,"Wulfram Gerstner, Marco Lehmann, Vasiliki Liakoni, Dane Corneil, Johanni Brea","Frontiers in Neural Circuits, Vol. 12",,,,Frontiers Media SA,,2018,Gold,True
10.1016/j.cortex.2018.06.015,Article in Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6259584/,http://dx.doi.org/10.1016/j.cortex.2018.06.015,Probabilistic electrical stimulation mapping of human medial frontal cortex,"Gianluca Trevisi, Simon B. Eickhoff, Fahmida Chowdhury, Ashwani Jha, Roman Rodionov, Mark Nowell, Anna Miserocchi, Andrew W. McEvoy, Parashkev Nachev, Beate Diehl","Cortex, Volume 109, Pages 336-346",,,,Elsevier BV,,2018,Gold,True
10.1016/j.smrv.2018.07.004,Article in Journal,https://pure.knaw.nl/ws/files/9497612/Tahmasian_2018_111_accepted_manuscript.pdf,http://dx.doi.org/10.1016/j.smrv.2018.07.004,A lack of consistent brain alterations in insomnia disorder: An activation likelihood estimation meta-analysis,"Masoud Tahmasian, Khadijeh Noori, Fateme Samea, Mojtaba Zarei, Kai Spiegelhalder, Simon B. Eickhoff, Eus Van Someren, Habibolah Khazaie, Claudia R. Eickhoff","Sleep Medicine Reviews, Vol. 42",,,,Elsevier BV,,2018,Green,True
10.1093/cercor/bhy159,Article in Journal,https://www.ncbi.nlm.nih.gov/pubmed/?term=A+Quantitative+Study+on+the+Distribution+of+Mitochondria+in+the+Neuropil+of+the+Juvenile+Rat+Somatosensory+Cortex,http://dx.doi.org/10.1093/cercor/bhy159,A Quantitative Study on the Distribution of Mitochondria in the Neuropil of the Juvenile Rat Somatosensory Cortex,"A Santuy, M Turégano-López, J R Rodríguez, L Alonso-Nanclares, J DeFelipe, A Merchán-Pérez","Cerebral Cortex, Vol. 28, No. 10",,,,Oxford University Press (OUP),,2018,Green,True
10.1007/978-3-319-97628-0_9,Chapter in Book,None,http://dx.doi.org/10.1007/978-3-319-97628-0_9,Calibration Method to Improve Transfer from Simulation to Quadruped Robots,"Gabriel Urbain, Alexander Vandesompele, Francis Wyffels, Joni Dambre",From Animals to Animats 15,,,,Springer International Publishing,,2018,No,True
10.1109/TBCAS.2018.2848203,Article in Journal,https://arxiv.org/abs/1804.01840,http://dx.doi.org/10.1109/tbcas.2018.2848203,A Mixed-Signal Structured AdEx Neuron for Accelerated Neuromorphic Cores,"Syed Ahmed Aamir, Paul Muller, Gerd Kiene, Laura Kriener, Yannik Stradmann, Andreas Grubl, Johannes Schemmel, Karlheinz Meier","IEEE Transactions on Biomedical Circuits and Systems, Vol. 12, No. 5",,,,Institute of Electrical and Electronics Engineers (IEEE),,2018,Green,True
None,Paper In Conference Or Workshop,None,https://iccm-conference.neocities.org/2018/proceedings/ICCM%202018%20Proceedings.pdf,Two Simple NeuroCognitive Associative Memory Models,"Christian R. Huyck, Yuhue Ji",Proceedings of the 16th International Conference on Cognitive Modeling (ICCM 2018),,,,None,,2018,Gold,False
10.1523/JNEUROSCI.3359-17.2018,Article in Journal,http://www.jneurosci.org/content/38/35/7713,http://dx.doi.org/10.1523/jneurosci.3359-17.2018,Cerebrospinal Fluid-Contacting Neurons Sense pH Changes and Motion in the Hypothalamus,"Elham Jalalvand, Brita Robertson, Hervé Tostivint, Peter Löw, Peter Wallén, Sten Grillner","The Journal of Neuroscience, Vol. 38, No. 35",,,,Society for Neuroscience,,2018,Green,True
10.1109/CCGRID.2018.00031,Publication In Conference Or Workshop,https://ieeexplore.ieee.org/document/8411020/,http://dx.doi.org/10.1109/ccgrid.2018.00031,Efficient Fault Tolerance Through Dynamic Node Replacement,"Suraj Prabhakaran, Marcel Neumann, Felix Wolf","2018 18th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)",,,,IEEE,,2018,Green,False
10.3390/toxins10070295,Article in Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6070800/,http://dx.doi.org/10.3390/toxins10070295,Unilateral Botulinum Neurotoxin-A Injection into the Striatum of C57BL/6 Mice Leads to a Different Motor Behavior Compared with Rats,"Veronica Antipova, Andreas Wree, Carsten Holzmann, Teresa Mann, Nicola Palomero-Gallagher, Karl Zilles, Oliver Schmitt, Alexander Hawlitschka","Toxins, Vol. 10, No. 7",,,,MDPI AG,,2018,Gold,True
10.3389/fnana.2018.00056,Article in Journal,http://dx.doi.org/10.3389/fnana.2018.00056,http://dx.doi.org/10.3389/fnana.2018.00056,A Perspective on Cortical Layering and Layer-Spanning Neuronal Elements,"Matthew E. Larkum, Lucy S. Petro, Robert N. S. Sachdev, Lars Muckli","Frontiers in Neuroanatomy, Vol. 12",,,,Frontiers Media SA,,2018,Gold,True
10.1109/TBCAS.2018.2847562,Article in Journal,None,http://dx.doi.org/10.1109/tbcas.2018.2847562,Parallel Distribution of an Inner Hair Cell and Auditory Nerve Model for Real-Time Application,"Robert James, Jim Garside, Luis A. Plana, Andrew Rowley, Steve B. Furber","IEEE Transactions on Biomedical Circuits and Systems, Vol. 12, No. 5",,,,Institute of Electrical and Electronics Engineers (IEEE),,2018,Gold,True
-,Publication In Conference Or Workshop,http://proceedings.mlr.press/v80/gilra18a/gilra18a.pdf,http://proceedings.mlr.press/v80/gilra18a/gilra18a.pdf,Non-Linear Motor Control by Local Learning in Spiking Neural Networks,Aditya Gilra and Wulfram Gerstner,"Proceedings of Machine Learning Research, Vol. 80",,,,None,,2018,Gold,False
10.1093/bioinformatics/bty607,Article in Journal,https://academic.oup.com/bioinformatics/article/35/2/284/5053309,http://dx.doi.org/10.1093/bioinformatics/bty607,"Uncertainty quantification, propagation and characterization by Bayesian analysis combined with global sensitivity analysis applied to dynamical intracellular pathway models","Olivia Eriksson, Alexandra Jauhiainen, Sara Maad Sasane, Andrei Kramer, Anu G Nair, Carolina Sartorius, Jeanette Hellgren Kotaleski",Bioinformatics,,,,Oxford University Press (OUP),,2018,Gold,True
10.1186/s13010-018-0063-2,Article in Journal,https://peh-med.biomedcentral.com/articles/10.1186/s13010-018-0063-2,http://dx.doi.org/10.1186/s13010-018-0063-2,"Body –to-head transplant; a ""caputal"" crime? Examining the corpus of ethical and legal issues","Zaev D. Suskin, James J. Giordano","Philosophy, Ethics, and Humanities in Medicine, Vol. 13, No. 1",,,,Springer Nature,,2018,Gold,False
10.1038/s41598-018-28999-2,Article in Journal,https://arxiv.org/abs/1709.08166,http://dx.doi.org/10.1038/s41598-018-28999-2,Spiking neurons with short-term synaptic plasticity form superior generative networks,"Luziwei Leng, Roman Martel, Oliver Breitwieser, Ilja Bytschok, Walter Senn, Johannes Schemmel, Karlheinz Meier, Mihai A. Petrovici","Scientific Reports, Vol. 8, No. 1",,,,Springer Nature,,2018,Gold,True
10.3389/fncir.2018.00052,Article in Journal,None,http://dx.doi.org/10.3389/fncir.2018.00052,Behavioral Context Determines Network State and Variability Dynamics in Monkey Motor Cortex,"Alexa Riehle, Thomas Brochier, Martin Nawrot, Sonja Grün","Frontiers in Neural Circuits, Vol. 12",,,,Frontiers Media SA,,2018,Gold,True
10.1371/journal.pcbi.1006160,Article in Journal,None,http://dx.doi.org/10.1371/journal.pcbi.1006160,Phase-lags in large scale brain synchronization: Methodological considerations and in-silico analysis,"Spase Petkoski, J. Matias Palva, Viktor K. Jirsa","PLOS Computational Biology, Vol. 14, No. 7",,,,Public Library of Science (PLoS),,2018,Gold,True
10.3389/fncom.2018.00044/,Article in Journal,None,http://dx.doi.org/10.3389/fncom.2018.00044,"Criteria on Balance, Stability, and Excitability in Cortical Networks for Constraining Computational Models","Andrei Maksimov, Markus Diesmann, Sacha J. van Albada","Frontiers in Computational Neuroscience, Vol. 12",,,,Frontiers Media SA,,2018,Gold,True
10.1007/978-3-319-95972-6_44,Chapter in Book,None,http://dx.doi.org/10.1007/978-3-319-95972-6_44,Whisker-RatSLAM Applied to 6D Object Identification and Spatial Localisation,"Mohammed Salman, Martin J. Pearson",Biomimetic and Biohybrid Systems,,,,Springer International Publishing,,2018,No,True
10.1007/978-3-319-95972-6_14,Chapter in Book,None,http://dx.doi.org/10.1007/978-3-319-95972-6_14,Understanding Interstate Competitiveness and International Security in European Dual-Use Research,"Saheli Datta Burton, Christine Aicardi, Tara Mahfoud, Nikolas Rose",Biomimetic and Biohybrid Systems,,,,Springer International Publishing,,2018,No,True
10.1371/journal.pcbi.1006216,Article in Journal,None,http://dx.doi.org/10.1371/journal.pcbi.1006216,Excitable neuronal assemblies with adaptation as a building block of brain circuits for velocity-controlled signal propagation,"Hesam Setareh, Moritz Deger, Wulfram Gerstner","PLOS Computational Biology, Vol. 14, No. 7",,,,Public Library of Science (PLoS),,2018,Gold,True
10.1103/PhysRevE.98.012402,Article in Journal,https://arxiv.org/pdf/1801.01853.pdf,http://dx.doi.org/10.1103/physreve.98.012402,Maximum-entropy models reveal the excitatory and inhibitory correlation structures in cortical neuronal activity,"Trang-Anh Nghiem, Bartosz Telenczuk, Olivier Marre, Alain Destexhe, Ulisse Ferrari","Physical Review E, Vol. 98, No. 1",,,,American Physical Society (APS),,2018,Green,True
10.1002/hbm.24303,Article in Journal,https://orbi.uliege.be/handle/2268/226699,http://dx.doi.org/10.1002/hbm.24303,Clinical subcategorization of minimally conscious state according to resting functional connectivity,"Charlène Aubinet, Stephen Karl Larroque, Lizette Heine, Charlotte Martial, Steve Majerus, Steven Laureys, Carol Di Perri","Human Brain Mapping, Vol. 39, No. 11",,,,Wiley,,2018,Green,True
None,Paper In Conference Or Workshop,None,None,Option predictive clustering trees for multi-label classification,"STEPIŠNIK PERDIH, Tomaž, KOCEV, Dragi, DŽEROSKI, Sašo",ETAI 2018 International Conference : Proceedings of Abstracts. Skopje: Faculty of Electrical Engineering and Information Technology,,,,None,,2018,Green,False
10.3389/fncir.2018.00050,Article in Journal,https://www.frontiersin.org/articles/10.3389/fncir.2018.00050/full#h11,http://dx.doi.org/10.3389/fncir.2018.00050,Apical Function in Neocortical Pyramidal Cells: A Common Pathway by Which General Anesthetics Can Affect Mental State,"William A. Phillips, Talis Bachmann, Johan F. Storm","Frontiers in Neural Circuits, Vol. 12",,,,Frontiers Media SA,,2018,Gold,True
10.3389/fnins.2018.00434,Article in Journal,None,http://dx.doi.org/10.3389/fnins.2018.00434,Structural Plasticity on the SpiNNaker Many-Core Neuromorphic System,"Petruț A. Bogdan, Andrew G. D. Rowley, Oliver Rhodes, Steve B. Furber","Frontiers in Neuroscience, Vol. 12",,,,Frontiers Media SA,,2018,Gold,True
10.1109/ICCI-CC.2018.8482049,Publication In Conference Or Workshop,None,http://dx.doi.org/10.1109/icci-cc.2018.8482049,Controlling a Robot Arm for Target Reaching without Planning Using Spiking Neurons,"J. Camilo Vasquez Tieck, Lea Steffen, Jacques Kaiser, Arne Roennau, Rudiger Dillmann",2018 IEEE 17th International Conference on Cognitive Informatics & Cognitive Computing (ICCI*CC),,,,IEEE,,2018,No,True
10.3389/fncel.2018.00181,Article in Journal,https://www.frontiersin.org/articles/10.3389/fncel.2018.00181/full,http://dx.doi.org/10.3389/fncel.2018.00181,Human Cortical Pyramidal Neurons: From Spines to Spikes via Models,"Guy Eyal, Matthijs B. Verhoog, Guilherme Testa-Silva, Yair Deitcher, Ruth Benavides-Piccione, Javier DeFelipe, Christiaan P. J. de Kock, Huibert D. Mansvelder, Idan Segev","Frontiers in Cellular Neuroscience, Vol. 12",,,,Frontiers Media SA,,2018,Gold,True
10.1007/978-3-030-02465-9_18,Publication In Conference Or Contribution To Book,http://juser.fz-juelich.de/record/859933,https://www.springerprofessional.de/streaming-live-neuronal-simulation-data-into-visualization-and-a/16418440,Streaming Live Neuronal Simulation Data into Visualization and Analysis,"Simon Oehrl, Jan Müller, Jan Schnathmeier, Jochen Martin Eppler, Alexander Peyser, Hans Ekkehard Plesser, Benjamin Weyers, Bernd Hentschel, Torsten W. Kuhlen, Tom Vierjahn",Springer International Publishing,,,,Springer International Publishing,,2018,Green,True
10.1523/JNEUROSCI.3278-17.2018,Article in Journal,None,http://dx.doi.org/10.1523/jneurosci.3278-17.2018,h-Type Membrane Current Shapes the Local Field Potential from Populations of Pyramidal Neurons,"Torbjørn V. Ness, Michiel W.H. Remme, Gaute T. Einevoll","The Journal of Neuroscience, Vol. 38, No. 26",,,,Society for Neuroscience,,2018,Gold,True
10.1109/TCSI.2018.2840718,Article in Journal,https://arxiv.org/pdf/1804.01906,http://dx.doi.org/10.1109/tcsi.2018.2840718,An Accelerated LIF Neuronal Network Array for a Large-Scale Mixed-Signal Neuromorphic Architecture,"Syed Ahmed Aamir, Yannik Stradmann, Paul Muller, Christian Pehle, Andreas Hartel, Andreas Grubl, Johannes Schemmel, Karlheinz Meier",IEEE Transactions on Circuits and Systems I: Regular Papers,,,,Institute of Electrical and Electronics Engineers (IEEE),,2018,Green,True
10.1038/s41593-018-0171-8,Article in Journal,https://www.researchgate.net/publication/325974270_Investigating_large-scale_brain_dynamics_using_field_potential_recordings_analysis_and_interpretation,http://dx.doi.org/10.1038/s41593-018-0171-8,Investigating large-scale brain dynamics using field potential recordings: analysis and interpretation,"Bijan Pesaran, Martin Vinck, Gaute T. Einevoll, Anton Sirota, Pascal Fries, Markus Siegel, Wilson Truccolo, Charles E. Schroeder, Ramesh Srinivasan","Nature Neuroscience, Vol. 21, No. 7",,,,Springer Nature,,2018,Green,True
10.1007/978-3-319-71048-8_2,Chapter in Book,None,http://dx.doi.org/10.1007/978-3-319-71048-8_2,Unraveling Brain Modularity Through Slow Oscillations,"Maurizio Mattia, Maria V. Sanchez-Vives",Nonlinear Dynamics in Computational Neuroscience,,,,Springer International Publishing,,2018,No,True
10.7554/eLife.34789,Article in Journal,http://dx.doi.org/10.7554/elife.34789,http://dx.doi.org/10.7554/elife.34789,Spatial cell firing during virtual navigation of open arenas by head-restrained mice,"Guifen Chen, John Andrew King, Yi Lu, Francesca Cacucci, Neil Burgess","eLife, Vol. 7",,,,"eLife Sciences Organisation, Ltd.",,2018,Gold,True
10.1098/rsfs.2018.0007,Article in Journal,None,http://dx.doi.org/10.1098/rsfs.2018.0007,Spiking neural networks for computer vision,"Michael Hopkins, Garibaldi Pineda-García, Petruţ A. Bogdan, Steve B. Furber","Interface Focus, Vol. 8, No. 4",,,,The Royal Society,,2018,Gold,False
10.1093/nar/gky472,Article in Journal,https://academic.oup.com/nar/article/46/W1/W417/5037717,http://dx.doi.org/10.1093/nar/gky472,Identification and visualization of protein binding regions with the ArDock server,"Sébastien Reille, Mélanie Garnier, Xavier Robert, Patrice Gouet, Juliette Martin, Guillaume Launay","Nucleic Acids Research, Vol. 46, No. W1",,,,Oxford University Press (OUP),,2018,Gold,True
10.1371/journal.pcbi.1006221,Article in Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6060563/,http://dx.doi.org/10.1371/journal.pcbi.1006221,3D morphology-based clustering and simulation of human pyramidal cell dendritic spines,"Sergio Luengo-Sanchez, Isabel Fernaud-Espinosa, Concha Bielza, Ruth Benavides-Piccione, Pedro Larrañaga, Javier DeFelipe","PLOS Computational Biology, Vol. 14, No. 6",,,,Public Library of Science (PLoS),,2018,Green,True
10.1038/sdata.2018.105,Article in Journal,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5996851/,http://dx.doi.org/10.1038/sdata.2018.105,"Individual Brain Charting, a high-resolution fMRI dataset for cognitive mapping","Ana Luísa Pinho, Alexis Amadon, Torsten Ruest, Murielle Fabre, Elvis Dohmatob, Isabelle Denghien, Chantal Ginisty, Séverine Becuwe-Desmidt, Séverine Roger, Laurence Laurier, Véronique Joly-Testault, Gaëlle Médiouni-Cloarec, Christine Doublé, Bernadette Martins, Philippe Pinel, Evelyn Eger, Gaël Varoquaux, Christophe Pallier, Stanislas Dehaene, Lucie Hertz-Pannier, Bertrand Thirion","Scientific Data, Vol. 5",,,,Springer Nature,,2018,Gold,True
10.1038/s41565-018-0163-6,Article in Journal,https://www.researchgate.net/publication/325696524_Single-layer_graphene_modulates_neuronal_communication_and_augments_membrane_ion_currents,http://dx.doi.org/10.1038/s41565-018-0163-6,Single-layer graphene modulates neuronal communication and augments membrane ion currents,"Niccolò Paolo Pampaloni, Martin Lottner, Michele Giugliano, Alessia Matruglio, Francesco D’Amico, Maurizio Prato, Josè Antonio Garrido, Laura Ballerini, Denis Scaini","Nature Nanotechnology, Vol. 13, No. 8",,,,"Springer Nature America, Inc",,2018,Green,True
10.1038/s41598-018-26853-z,Article in Journal,http://dx.doi.org/10.1038/s41598-018-26853-z,http://dx.doi.org/10.1038/s41598-018-26853-z,Impaired hippocampal representation of place in the Fmr1-knockout mouse model of fragile X syndrome,"Tara Arbab, Cyriel M. A. Pennartz, Francesco P. Battaglia","Scientific Reports, Vol. 8, No. 1",,,,Springer Nature,,2018,Gold,True
10.3389/fnins.2018.00322,Article in Journal,None,http://dx.doi.org/10.3389/fnins.2018.00322,A Digital Hardware Realization for Spiking Model of Cutaneous Mechanoreceptor,"Nima Salimi-Nezhad, Mahmood Amiri, Egidio Falotico, Cecilia Laschi","Frontiers in Neuroscience, Vol. 12",,,,Frontiers Media SA,,2018,Green,True
10.1007/s12152-018-9372-9,Article in Journal,https://link.springer.com/article/10.1007%2Fs12152-018-9372-9,https://doi.org/10.1007/s12152-018-9372-9,Neuroethics and Philosophy in Responsible Research and Innovation: The Case of the Human Brain Project,"Arleen Salles, Kathinka Evers, Michele Farisco",Neuroethics,,,,Springer Nature,,2018,Gold,True
10.3389/fnins.2018.00401,Article in Journal,http://dx.doi.org/10.3389/fnins.2018.00401,http://dx.doi.org/10.3389/fnins.2018.00401,"Commentary: Locus Coeruleus Ablation Exacerbates Cognitive Deficits, Neuropathology, and Lethality in P301S Tau Transgenic Mice","Matthew J. Betts, Alexander J. Ehrenberg, Dorothea Hämmerer, Emrah Düzel","Frontiers in Neuroscience, Vol. 12",,,,Frontiers Media SA,,2018,Gold,True
10.1109/ARITH.2018.8464785,Publication In Conference Or Workshop,https://www.research.manchester.ac.uk/portal/en/publications/approximate-fixedpoint-elementary-function-accelerator-for-the-spinnaker2-neuromorphic-chip(bf3c8125-f173-4c5b-97db-db10783aee8f).html,http://dx.doi.org/10.1109/arith.2018.8464785,Approximate Fixed-Point Elementary Function Accelerator for the SpiNNaker-2 Neuromorphic Chip,"Mantas Mikaitis, David R Lester, Delong Shang, Steve Furber, Gengting Liu, Jim Garside, Stefan Scholze, Sebastian Hoppner, Andreas Dixius",2018 IEEE 25th Symposium on Computer Arithmetic (ARITH),,,,IEEE,,2018,Green,False
10.3389/fnins.2018.00370,Article in Journal,https://www.frontiersin.org/articles/10.3389/fnins.2018.00370/full,http://dx.doi.org/10.3389/fnins.2018.00370,BCI Performance and Brain Metabolism Profile in Severely Brain-Injured Patients Without Response to Command at Bedside,"Jitka Annen, Séverine Blandiaux, Nicolas Lejeune, Mohamed A. Bahri, Aurore Thibaut, Woosang Cho, Christoph Guger, Camille Chatelle, Steven Laureys","Frontiers in Neuroscience, Vol. 12",,,,Frontiers Media SA,,2018,Gold,True
10.1016/j.biopsych.2018.05.015,Article in Journal,https://www.sciencedirect.com/science/article/pii/S0006322318315324?via%3Dihub,http://dx.doi.org/10.1016/j.biopsych.2018.05.015,The Predictive Coding Account of Psychosis,"Philipp Sterzer, Rick A. Adams, Paul Fletcher, Chris Frith, Stephen M. Lawrie, Lars Muckli, Predrag Petrovic, Peter Uhlhaas, Martin Voss, Philip R. Corlett","Biological Psychiatry, Vol. 84, No. 9",,,,Elsevier BV,,2018,Gold,True
